first_name,last_name,initials,initials_alt,other_names,title,gender,email,organisation,region,position,start_date,end_date,end_reason
Steven Nicholas,Swart,S N,,,,,sswart@parliament.gov.za,ACDP,,Member,,,0
Kenneth Raselabe Joseph,Meshoe,K R J,,,,,kmeshoe@parliament.gov.za,ACDP,,Member,,,0
Cheryllyn,Dudley,C,,,,,cdudley@parliament.gov.za,ACDP,,Member,,,0
Masenyani Richard,Baloyi,M R,,,,,,ANC,,Member,,,0
Thandile Babalwa,Sunduza,T B,,,,,tsunduza@parliament.gov.za,ANC,,Member,,,0
Nkosinathi Benson,Fihla,N B,,,,,nfihla@parliament.gov.za,ANC,,Member,,,0
Beauty Nomhle,Dambuza,B N,,,,,bdambuza@parliament.gov.za,ANC,,Member,,,0
Derek Andre,Hanekom,D A,,,,,,ANC,,Member,,,0
Tjheta Makwa Harry,Mofokeng,T M H,,,,,tjmofokeng@parliament.gov.za,ANC,,Member,,,0
Crosby Mpoxo,Moni,C M,,,,,cmoni@parliament.gov.za,ANC,,Member,,,0
Dudu,Sibiya,D,,,,,,ANC,,Member,,,0
Motswane Ishmael,Malale,M I,M L,,,,mmalale@parliament.gov.za,ANC,,Member,,,0
Ndabakayise Erasmus,Gcwabaza,N E,,,,,ngcwabaza@parliament.gov.za,ANC,,Member,,,0
Tokozile,Xasa,T,,,,,,ANC,,Member,,,0
Bertha Peace,Mabe,B P,,,,,bmabe@parliament.gov.za,ANC,,Member,,,0
Beauty Nomvuzo,Dlulane,B N,,,,,bdlulane@parliament.gov.za,ANC,,Member,,,0
Solomon Lechesa,Tsenoli,S L,,,,,lechesa@parliament.gov.za,ANC,,Member,,,0
Siphiwe,Nyanda,S,,,,,,ANC,,Member,,,0
N B,Gxowa,N B,,,Ms,,,ANC,,Member,,,0
Susan,Shabangu,S,,,,,,ANC,,Member,,,0
Grace Naledi Mandisa,Pandor,G N M,,,,,,ANC,,Member,,,0
Salamuddi (Salam),Abram,S S,,,,,sabram@parliament.gov.za,ANC,,Member,,,0
Kopeng Obed,Bapela,K O,,,,,obapela@parliament.gov.za,ANC,,Member,,,0
