ABA NORTH,Aba North
ABA SOUTH,Aba South
ABADAM,Abadam
ABAK,Abak
ABEOKUTA NORTH,AbeokutaNorth
ABEOKUTA SOUTH,Abeokuta South
ABI,Abi
ADAVI,Adavi
ADO,Ado
ADO EKITI,Ado-Ekiti
AFIJIO,Afijio
AGAIE,Agaie
AGATU,Agatu
AGEGE,Agege
AGUATA,Aguata
AGWARA,Agwara
AHOADA EAST,Ahoada East
AHOADA WEST,Ahoada West
AJAOKUTA,Ajaokuta
AJEROMI/IFELODUN,Ajeromi/Ifelodun
AJINGI,Ajingi
AKAMKPA,Akamkpa
AKINYELE,Akinyele
AKKO,Akko
AKOKO NORTH EAST,Akoko North-East
AKOKO NORTH WEST,AkokoNorthWest
AKOKO SOUTH EAST,Akoko South-East
AKOKO SOUTH WEST,Akoko South-West
AKPABUYO,Akpabuyo
AKURE NORTH,Akure North
AKURE SOUTH,Akure South
ALBASU,Albasu
ALEIRO,Aleiro
ALIMOSHO,Alimosho
ALKALERI,Alkaleri
AMUWO-ODOFIN,Amuwo Odofin
ANAMBRA EAST,Anambra East
ANAMBRA WEST,Anambra West
ANAOCHA,Anaocha
ANKA,Anka
ANKPA,Ankpa
APA,Apa
APAPA,Apapa
ARDO-KOLA,Ardo-Kola
AREWA,Arewa
ARGUNGU,Argungu
ASA,Asa
ATIBA,Atiba
AUGIE,Augie
AUYO,Auyo
AWE,Awe
AWGU,Awgu
AYAMELUM,Ayamelum
AYEDIRE,Ayedire
Arochukw,Arochukw
BABURA,Babura
BADE,Bade
BAGUDO,Bagudo
BAGWAI,Bagwai
BAKASSI,Bakassi
BAKORI,Bakori
BAKURA,Bakura
BALANGA,Balanga
BALI,Bali
BAMA,Bama
BARKIN LADI,Barkin Ladi
BARUTEN,Baruten
BASSA,Bassa
BATAGARAWA,Batagarawa
BATSARI,Batsari
BAUCHI,Bauchi
BAURE,Baure
BAYO,Bayo
BEBEJI,Bebeji
BEKWARRA,Bekwarra
BENDE,Bende
BIASE,Biase
BICHI,Bichi
BIDA,Bida
BILLIRI,Billiri
BINDAWA,Bindawa
BINJI,Binji
BIU,Biu
BODINGA,Bodinga
BOGORO,Bogoro
BOKI,Boki
BOKKOS,Bokkos
BOMADI,Bomadi
BONNY,Bonny
BORGU,Borgu
BORIPE,Boripe
BOSSO,Bosso
BRASS,Brass
BUJI,Buji
BUKKUYUM,Bukkuyum
BUNGUDU,Bungudu
BUNKURE,Bunkure
BUNZA,Bunza
BURUKU,Buruku
BURUTU,Burutu
CALABAR SOUTH,Calabar South
CHARANCHI,Charanchi
CHIBOK,Chibok
CHIKUN,Chikun
DALA,Dala
DAMATURU,Damaturu
DAMBAN,Damban
DANDI,Dandi
DANDUME,Dandume
DANGE SHUNI,Dange-Shuni
DANJA,Danja
DANMUSA,Danmusa
DARAZO,Darazo
DASS,Dass
DAURA,Daura
DEGEMA,Degema
DEKINA,Dekina
DEMSA,Demsa
DIKWA,Dikwa
DOGUWA,Doguwa
DOMA,Doma
DONGA,Donga
DUKKU,Dukku
DUNUKOFIA,Dunukofia
DUTSE,Dutse
DUTSI,Dutsi
EASTERN OBOLO,Eastern Obolo
EBONYI,Ebonyi
EDE NORTH,Ede North
EDE SOUTH,Ede South
EDU,Edu
EFON,Efon
EGBADO NORTH,EgbadoNorth
EGBADO SOUTH,EgbadoSouth
EGBEDA,Egbeda
EGBEDORE,Egbedore
EGOR,Egor
EJIGBO,Ejigbo
EKEREMOR,Ekeremor
EKET,Eket
EKITI,Ekiti
EKITI SOUTH WEST,EkitiSouth-West
EKITI WEST,EkitiWest
EKWUSIGO,Ekwusigo
ELEME,Eleme
ENUGU EAST,Enugu East
ENUGU NORTH,Enugu North
EPE,Epe
ESAN WEST,EsanWest
ESE-ODO,Ese-Odo
ESIT EKET,Esit Eket
ESSIEN-U,Essien-U
ETCHE,Etche
ETHIOPE WEST,Ethiope West
ETI-OSA,Eti-Osa
ETIMEKPO,EtimEkpo
ETINAN,Etinan
ETSAKO CENTRAL,Etsako Central
ETUNG,Etung
EWEKORO,Ewekoro
EZEAGU,Ezeagu
EZZA NORTH,Ezza North
EZZA SOUTH,Ezza South
FAGGE,Fagge
FAKAI,Fakai
FASKARI,Faskari
FIKA,Fika
FUFORE,Fufore
FUNAKAYE,Funakaye
FUNE,Fune
FUNTUA,Funtua
GABASAWA,Gabasawa
GADA,Gada
GAMAWA,Gamawa
GANYE,Ganye
GARKI,Garki
GARKO,Garko
GARUM MALLAM,Garum Mallam
GASHAKA,Gashaka
GASSOL,Gassol
GAYA,Gaya
GBOKO,Gboko
GEIDAM,Geidam
GEZAWA,Gezawa
GIADE,Giade
GIWA,Giwa
GOKANA,Gokana
GOMBE,Gombe
GORONYO,Goronyo
GUBIO,Gubio
GUDU,Gudu
GUJBA,Gujba
GULANI,Gulani
GUMA,Guma
GUMMI,Gummi
GURARA,Gurara
GURI,Guri
GUSAU,Gusau
GUYUK,Guyuk
GUZAMALA,Guzamala
GWALE,Gwale
GWANDU,Gwandu
GWARAM,Gwaram
GWARZO,Gwarzo
GWER-EAST,Gwer East
GWER-WEST,GwerWest
GWIWA,Gwiwa
GWOZA,Gwoza
HADEJIA,Hadejia
HAWUL,Hawul
HONG,Hong
IBADAN NORTH,IbadanNorth
IBADAN NORTH EAST,IbadanNorth-East
IBADAN NORTH WEST,IbadanNorth-West
IBADAN SOUTH EAST,IbadanSouth-East
IBADAN SOUTH WEST,IbadanSouth-West
IBAJI,Ibaji
IBARAPA CENTRAL,Ibarapa Central
IBARAPA EAST,Ibarapa East
IBARAPA NORTH,Ibarapa North
IBEJU-LEKKI,Ibeju/Lekki
IBENO,Ibeno
IBESIKPO ASUTAN,Ibesikpo Asutan
IBI,Ibi
IBIONO IBOM,Ibiono Ibom
IDAH,Idah
IDANRE,Idanre
IDEATO SOUTH,Ideato South
IDEMILI NORTH,Idemili North
IDEMILI SOUTH,Idemili South
IDO,Ido
IDO/OSI,Ido/Osi
IFAKO-IJAYE,Ifako/Ijaye
IFE CENTRAL,IfeCentral
IFE EAST,Ife East
IFE NORTH,Ife North
IFE SOUTH,Ife South
IFEDAYO,Ifedayo
IFEDORE,Ifedore
IFELODUN,Ifelodun
IFO,Ifo
IGABI,Igabi
IGALAMELA-ODOLU,Igalamela-Odolu
IGBO-EZE NORTH,Igbo-eze North
IGUEBEN,Igueben
IHIALA,Ihiala
IJEBU EAST,IjebuEast
IJEBU NORTH,IjebuNorth
IJEBU NORTH EAST,Ijebu North-East
IJEBU-ODE,IjebuOde
IJERO,Ijero
IJUMU,Ijumu
IKA,Ika
IKARA,Ikara
IKEDURU,Ikeduru
IKEJA,Ikeja
IKENNE,Ikenne
IKERE,Ikere
IKOLE,Ikole
IKOM,Ikom
IKONO,Ikono
IKORODU,Ikorodu
IKOT-ABA,Ikot-Aba
IKOT-EKP,Ikot-Ekp
IKPOBA OKHA,Ikpoba-Okha
IKWERRE,Ikwerre
IKWO,Ikwo
IKWUANO,Ikwuano
ILA,Ila
ILEJEMEJE,Ilejemeje
ILEOLUJI/OKEIGBO,IleOluji/Okeigbo
ILLELA,Illela
ILORIN EAST,Ilorin East
ILORIN SOUTH,Ilorin South
IMEKO AFON,Imeko-Afon
INGAWA,Ingawa
INI,Ini
IPOKIA,Ipokia
IRELE,Irele
IREPO,Irepo
IREPODUN,Irepodun
IREPODUN/IFELODUN,Irepodun/Ifelodun
IREWOLE,Irewole
ISA,Isa
ISE/ORUN,Ise/Orun
ISEYIN,Iseyin
ISHIELU,Ishielu
ISI-UZO,Isi-Uzo
ISIALA NGWA NORTH,Isiala Ngwa North
ISIALA NGWA SOUTH,Isiala Ngwa South
ISIN,Isin
ISOKAN,Isokan
ISU,Isu
ITESIWAJU,Itesiwaju
ITU,Itu
IVO,Ivo
IWAJOWA,Iwajowa
IWO,Iwo
IZZI,Izzi
Isuikwua,Isuikwua
JABA,Jaba
JADA,Jada
JAKUSKO,Jakusko
JALINGO,Jalingo
JAMA'ARE,Jama'are
JEGA,Jega
JEMA'A,Jema'a
JERE,Jere
JIBIA,Jibia
JOS EAST,Jos East
JOS NORTH,Jos North
JOS SOUTH,Jos South
KABO,Kabo
KACHIA,Kachia
KADUNA NORTH,Kaduna North
KADUNA SOUTH,Kaduna South
KAFUR,Kafur
KAGA,Kaga
KAGARKO,Kagarko
KAIAMA,Kaiama
KAITA,Kaita
KAJOLA,Kajola
KAJURU,Kajuru
KALA BALGE,Kala/Balge
KALGO,Kalgo
KALTUNGO,Kaltungo
KANAM,Kanam
KANKARA,Kankara
KANKE,Kanke
KARASUWA,Karasuwa
KARAYE,Karaye
KARU,Karu
KATAGUM,Katagum
KATCHA,Katcha
KAUGAMA,Kaugama
KAURA,Kaura
KAZAURE,Kazaure
KEANA,Keana
KEBBE,Kebbe
KEFFI,Keffi
KHANA,Khana
KIBIYA,Kibiya
KIRFI,Kirfi
KIRU,Kiru
KIYAWA,Kiyawa
KOKONA,Kokona
KOLOKUMA/OPOKUMA,Kolokuma/Opokuma
KONDUGA,Konduga
KOSOFE,Kosofe
KUBAU,Kubau
KUDAN,Kudan
KUKAWA,Kukawa
KUMBOTSO,Kumbotso
KUNCHI,Kunchi
KURA,Kura
KURFI,Kurfi
KURMI,Kurmi
KUSADA,Kusada
KWAMI,Kwami
KWANDE,Kwande
KWARE,Kware
LAFIA,Lafia
LAGELU,Lagelu
LAGOS ISLAND,LagosIsland
LAMURDE,Lamurde
LAPAI,Lapai
LAU,Lau
LAVUN,Lavun
LERE,Lere
LOGO,Logo
LOKOJA,Lokoja
MACHINA,Machina
MADAGALI,Madagali
MADOBI,Madobi
MAFA,Mafa
MAGUMERI,Magumeri
MAIADUA,Mai'Adua
MAIHA,Maiha
MAIYAMA,Maiyama
MAKARFI,Makarfi
MAKODA,Makoda
MANGU,Mangu
MANI,Mani
MARADUN,Maradun
MARIGA,Mariga
MARTE,Marte
MARU,Maru
MASHI,Mashi
MATAZU,Matazu
MAYO-BEL,Mayo-Bel
MBAITOLI,Mbaitoli
MBO,Mbo
MICHIKA,Michika
MIGA,Miga
MIKANG,Mikang
MINJIBIR,Minjibir
MISAU,Misau
MKPAT ENIN,Mkpat Enin
MOBA,Moba
MOBBAR,Mobbar
MOKWA,Mokwa
MOPAMURO,Mopa-Muro
MORO,Moro
MUBI NORTH,Mubi North
MUBI SOUTH,Mubi South
MUSAWA,Musawa
MUSHIN,Mushin
MUYA,Muya
NAFADA,Nafada
NANGERE,Nangere
NDOKWA EAST,Ndokwa East
NDOKWA WEST,Ndokwa West
NEMBE,Nembe
NGALA,Ngala
NGASKI,Ngaski
NGURU,Nguru
NINGI,Ningi
NJABA,Njaba
NJIKOKA,Njikoka
NKANU EAST,Nkanu East
NKANU WEST,Nkanu West
NSIT ATAI,Nsit Atai
NSIT IBOM,Nsit Ibom
NSIT UBIUM,Nsit Ubium
NSUKKA,Nsukka
NUMAN,Numan
NWANGELE,Nwangele
OBAFEMI/OWODE,Obafemi-Owode
OBANLIKU,Obanliku
OBI,Obi
OBOKUN,Obokun
OBOT AKARA,Obot Akara
OBOWO,Obowo
OBUBRA,Obubra
OBUDU,Obudu
ODEDA,Odeda
ODIGBO,Odigbo
ODOGBOLU,Odogbolu
ODUKPANI,Odukpani
OFFA,Offa
OFU,Ofu
OGBADIBO,Ogbadibo
OGBARU,Ogbaru
OGBIA,Ogbia
OGBOMOSHO NORTH,Ogbomosho North
OGBOMOSHO SOUTH,Ogbomosho South
OGOJA,Ogoja
OGORI/MAGONGO,Ogori/Magongo
OGU BOLO,Ogu/Bolo
OGUN WATERSIDE,OgunWaterside
OGUTA,Oguta
OHAOZARA,Ohaozara
OHAUKWU,Ohaukwu
OHIMINI,Ohimini
OJI RIVER,Oji-River
OJO,Ojo
OJU,Oju
OKE-ERO,Oke-Ero
OKEHI,Okehi
OKENE,Okene
OKIGWE,Okigwe
OKITIPUPA,Okitipupa
OKOBO,Okobo
OKPE,Okpe
OKPOKWU,Okpokwu
OLA-OLUWA,Ola-Oluwa
OLORUNDA,Olorunda
OLORUNSOGO,Olorunsogo
OLUYOLE,Oluyole
OMALA,Omala
ONA-ARA,Ona-Ara
ONDO EAST,Ondo East
ONDO WEST,Ondo West
ONICHA,Onicha
ONITSHA NORTH,Onitsha North
ONITSHA SOUTH,Onitsha South
ONNA,Onna
OPOBO/NKORO,Opobo/Nkoro
ORIADE,Oriade
ORLU,Orlu
OROLU,Orolu
ORON,Oron
ORSU,Orsu
ORU EAST,Oru East
ORU WEST,Oru West
ORUK-ANA,Oruk-Ana
OSE,Ose
OSHIMILI NORTH,Oshimili North
OSHIMILI SOUTH,Oshimili South
OSHODI/ISOLO,Oshodi/Isolo
OSOGBO,Osogbo
OVIA SOUTH WEST,OviaSouth-West
OWAN EAST,Owan East
OWAN WEST,OwanWest
OWERRI MUNICIPAL,Owerri Municipal
